,1.6 V,,1.65 V,,1.7 V,,1.75 V,,1.8 V,,1.85 V,,1.9 V,,1.95 V
5.86056,98.20097,6.20811,228.49261,6.37648,153.24467,5.86056,-4.60306,5.86056,-2.06723,6.20811,1.68917,5.93263,14.70932,5.93263,24.5639
5.86456,101.77583,6.21171,234.05267,6.37988,157.09948,5.86456,-4.59864,5.86456,-2.06718,6.21171,1.69074,5.93664,14.70932,5.93664,24.5639
5.86857,105.43383,6.21532,239.69525,6.38328,161.01773,5.86857,-4.59398,5.86857,-2.06713,6.21532,1.69238,5.94064,14.70932,5.94064,24.5639
5.87257,109.17617,6.21892,245.42068,6.38669,164.99992,5.87257,-4.58906,5.87257,-2.06707,6.21892,1.69411,5.94464,14.70932,5.94464,24.5639
5.87658,113.004,6.22252,251.22926,6.39009,169.04658,5.87658,-4.58387,5.87658,-2.06701,6.22252,1.69593,5.94865,14.70932,5.94865,24.5639
5.88058,116.91848,6.22613,257.12126,6.39349,173.15816,5.88058,-4.5784,5.88058,-2.06695,6.22613,1.69784,5.95265,14.70932,5.95265,24.5639
5.88458,120.92075,6.22973,263.09694,6.3969,177.33517,5.88458,-4.57264,5.88458,-2.06688,6.22973,1.69984,5.95666,14.70932,5.95666,24.5639
5.88859,125.01194,6.23333,269.15654,6.4003,181.57806,5.88859,-4.56656,5.88859,-2.06681,6.23333,1.70194,5.96066,14.70932,5.96066,24.5639
5.89259,129.19319,6.23694,275.30025,6.4037,185.8873,5.89259,-4.56016,5.89259,-2.06673,6.23694,1.70415,5.96466,14.70932,5.96466,24.5639
5.8966,133.46558,6.24054,281.52826,6.40711,190.26332,5.8966,-4.55342,5.8966,-2.06665,6.24054,1.70647,5.96867,14.70932,5.96867,24.5639
5.9,137.16961,6.24414,287.84073,6.41051,194.70656,5.9,-4.54741,5.9,-2.06657,6.24414,1.7089,5.97267,14.70932,5.97267,24.5639
5.9006,137.83023,6.24775,294.23777,6.41391,199.21744,5.9006,-4.54632,5.9006,-2.06656,6.24775,1.71145,5.97668,14.70932,5.97668,24.5639
5.9046,142.2882,6.25135,300.7195,6.41732,203.79637,5.9046,-4.53884,5.9046,-2.06646,6.25135,1.71412,5.98068,14.70932,5.98068,24.5639
5.90861,146.84056,6.25495,307.28598,6.42072,208.44374,5.90861,-4.53096,5.90861,-2.06636,6.25495,1.71692,5.98468,14.70932,5.98468,24.5639
5.91261,151.48834,6.25856,313.93727,6.42412,213.15994,5.91261,-4.52267,5.91261,-2.06625,6.25856,1.71987,5.98869,14.70932,5.98869,24.5639
5.91662,156.23258,6.26216,320.67338,6.42753,217.94533,5.91662,-4.51394,5.91662,-2.06613,6.26216,1.72295,5.99269,14.70932,5.99269,24.5639
5.92062,161.07428,6.26577,327.49429,6.43093,222.80026,5.92062,-4.50475,5.92062,-2.066,6.26577,1.72618,5.9967,14.70932,5.9967,24.5639
