x_new1,y_new1,x_new2,y_new2,x_new3,y_new3,x_new4,y_new4,x_new5,y_new5,x_new6,y_new6,x_new7,y_new7,x_new8,y_new8
5.46817,1.801702317,5.85495,-5.830987694,6.04294,-9.54076947,5.46817,1.801702317,5.46817,1.801702317,5.85135,-5.759945541,5.54024,0.379477877,5.54024,0.379477877
5.47217,1.814085401,5.85856,-5.542238238,6.04635,-9.117496439,5.47217,1.814085401,5.47217,1.814085401,5.85495,-5.473508902,5.54424,0.441973688,5.54424,0.441973688
5.47618,1.827152914,5.86216,-5.24457493,6.04975,-8.681502818,5.47618,1.827152914,5.47618,1.827152914,5.85856,-5.178617574,5.54825,0.506723291,5.54825,0.506723291
5.48018,1.84117524,5.86577,-4.938446864,6.05315,-8.233048876,5.48018,1.84117524,5.48018,1.84117524,5.86216,-4.87497417,5.55225,0.574007095,5.55225,0.574007095
5.48418,1.855847646,5.86937,-4.622725829,6.05656,-7.771104989,5.48418,1.855847646,5.48418,1.855847646,5.86577,-4.562176842,5.55626,0.643522362,5.55626,0.643522362
5.48819,1.871715193,5.87297,-4.298270041,6.05996,-7.296673126,5.48819,1.871715193,5.48819,1.871715193,5.86937,-4.240543686,5.56026,0.716065638,5.56026,0.716065638
5.49219,1.888490199,5.87658,-3.964334008,6.06336,-6.808295884,5.49219,1.888490199,5.49219,1.888490199,5.87297,-3.90936719,5.56426,0.791133242,5.56426,0.791133242
5.4962,1.906160152,5.88018,-3.620333328,6.06677,-6.305859706,5.4962,1.906160152,5.4962,1.906160152,5.87658,-3.568519753,5.56827,0.868881166,5.56827,0.868881166
5.5,1.920419212,5.88378,-3.263403143,6.07017,-5.781024303,5.5,1.920419212,5.5,1.920419212,5.88018,-3.21477695,5.57227,0.944248381,5.57227,0.944248381
5.5002,1.851890359,5.88739,-2.839795871,6.07357,-5.09578942,5.5002,1.851890359,5.5002,1.851890359,5.88378,-2.796052522,5.57628,0.930008368,5.57628,0.930008368
5.5042,1.870039796,5.89099,-2.465481574,6.07698,-4.550239762,5.5042,1.870039796,5.5042,1.870039796,5.88739,-2.425129246,5.58028,1.017260598,5.58028,1.017260598
5.50821,1.889438921,5.89459,-2.080741602,6.08038,-3.98979445,5.50821,1.889438921,5.50821,1.889438921,5.89099,-2.043750428,5.58428,1.107794859,5.58428,1.107794859
5.51221,1.909749396,5.8982,-1.684796427,6.08378,-3.413016883,5.51221,1.909749396,5.51221,1.909749396,5.89459,-1.651178171,5.58829,1.201251647,5.58829,1.201251647
5.51622,1.924572098,5.9,-1.259406301,6.08719,-2.812402592,5.51622,1.924572098,5.51622,1.924572098,5.8982,-1.244472847,5.59229,1.293467723,5.59229,1.293467723
5.52022,1.933780591,5.9018,-0.935781221,6.09059,-2.355521707,5.52022,1.933780591,5.52022,1.933780591,5.9,-0.922244843,5.5963,1.361642998,5.5963,1.361642998
5.52422,1.950547252,5.90541,-0.622375326,6.09399,-1.895235945,5.52422,1.950547252,5.52422,1.950547252,5.9018,-0.598008867,5.6003,1.437029191,5.6003,1.437029191
5.52823,1.97598257,5.90901,-0.188476458,6.0974,-1.259337418,5.52823,1.97598257,5.52823,1.97598257,5.90541,-0.16801306,5.6043,1.543579613,5.6043,1.543579613
5.53223,2.014049678,5.91261,0.205174238,6.1,-0.685948242,5.53223,2.014049678,5.53223,2.014049678,5.90901,0.222293833,5.60831,1.652255568,5.60831,1.652255568
